,,,,,,,,,,,,,,,,,,,,,,
,1.1.3,Seguro de obra,vb,,,,"0,00","0,00",, R$  -   ,0%," R$  2.770,00 ",100%," R$  2.770,00 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2,SERVIÇOS INICIAIS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.2.1,"Container de 3mts para canteiro de obra (escritório, almoxarifado, depósito, etc)",Mês,,,,,"0,00",," R$  1.255,33 ",90%," R$  139,48 ",10%," R$  1.394,81 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.2,"Barracão de obra com madeira certificada, instalações para canteiro de obra (escritório, almoxarifado, depósito, etc)",m2,,,,,"0,00",," R$  153,76 ",60%," R$  102,51 ",40%," R$  256,27 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.3,Andaime metálico de ferro tubular para serviços externos ou internos,m2,,,,,"0,00",," R$  17,26 ",60%," R$  11,51 ",40%," R$  28,77 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.4,"Plataforma elevatória tipo tesoura para serviços externos ou internos, alcançe de h: 8m",Mês,,,,,"0,00",," R$  2.066,52 ",60%," R$  1.377,68 ",40%," R$  3.444,20 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.5,"Plataforma elevatória tipo tesoura para serviços externos ou internos, alcançe de h: 12m",Mês,,,,,"0,00",," R$  2.629,07 ",60%," R$  1.752,71 ",40%," R$  4.381,78 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.6,"Plataforma elevatória tipo articulada para serviços externos ou internos, alcançe entre 12 e 15m",Mês,,,,,"0,00",," R$  3.047,71 ",60%," R$  2.031,81 ",40%," R$  5.079,52 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.7,Locação da Obra / Marcação de alvenarias,m2,,,,,"0,00",, R$  -   ,0%," R$  6,15 ",100%," R$  6,15 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.8,Locação da Obra (serviços especializados de topografia),m2,,,,,"0,00",, R$  -   ,0%," R$  11,93 ",100%," R$  11,93 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.9,Tapume em divisória naval com montantes metálicos,m2,,,,,"0,00",," R$  53,58 ",60%," R$  35,72 ",40%," R$  89,30 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.10,Adesivo branco para tapume em divisória naval  (shopping),m2,,,,,"0,00",," R$  32,42 ",60%," R$  21,61 ",40%," R$  54,03 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.11,"Adesivo com imagem colorida impressa, para tapume em divisória naval  (shopping)",m2,,,,,"0,00",," R$  60,98 ",60%," R$  40,65 ",40%," R$  101,63 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.12,"Tapume em estrutura de caibros e fechamento em madeira compensada E=12mm com pintura branca, contemplando portão de entrada para caminhões e também para pedestres",m2,,,,,"0,00",," R$  49,04 ",60%," R$  32,70 ",40%," R$  81,74 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.13,"Tapume em estrutura de caibros de madeira e fechamento em telha metalica trapezoidal simples e=0,50mm com pintura branca, contemplando portão de entrada para caminhões e também para pedestres",m2,,,,,"0,00",," R$  73,39 ",60%," R$  48,93 ",40%," R$  122,31 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.14,Tela de proteção para fachada,m2,,,,,"0,00",," R$  15,31 ",60%," R$  10,21 ",40%," R$  25,52 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.15,Tela de proteção para fachada na cor branca,m2,,,,,"0,00",," R$  15,01 ",60%," R$  10,01 ",40%," R$  25,02 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.2.16,Frete dedicado por Km rodado de entrega,km,,,,,"0,00",," R$  4,10 ",60%," R$  2,73 ",40%," R$  6,83 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3,"DEMOLIÇÕES, REMOÇÕES, E RETIRADAS ",,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.3.1,Apicoamento superficial de concreto,m2,,,,,"0,00",," R$  11,49 ",60%," R$  7,66 ",40%," R$  19,14 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.2,"Demolição completa das instalações  hidráulicas (tubulações, conexões, louças, metais e acessórios), inclusive bota-fora",m2,,,,,"0,00",," R$  8,08 ",60%," R$  5,39 ",40%," R$  13,46 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.3,"Demolição completa das instalações elétricas (tubulações, cabos, quadros, e etc), inclusive bota-fora",m2,,,,,"0,00",," R$  11,72 ",60%," R$  7,82 ",40%," R$  19,54 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.4,"Demolição completa de sistema de climatização (equipamentos, tubulações frigorígenas, dutos e alimentação elétrica), inclusive bota-fora",m2,,,,,"0,00",," R$  15,00 ",60%," R$  10,00 ",40%," R$  25,00 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.5,"Demolição de alvenaria, com bota-fora",m2,,,,,"0,00",," R$  18,53 ",60%," R$  12,35 ",40%," R$  30,88 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.6,"Demolição de concreto armado  (Fundação / Estrutura), com bota-fora",m3,,,,,"0,00",," R$  81,39 ",60%," R$  54,26 ",40%," R$  135,64 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.7,"Demolição de parede de gesso tipo dry wall, com bota-fora",m2,,"0,00","0,00",,"0,00",," R$  10,75 ",60%," R$  7,17 ",40%," R$  17,92 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.8,"Demolição de piso completa: revestimento / lastro / contrapiso / proteção mecânica / impermeabilização (espessura até 15cm), com bota-fora",m2,,,,,"0,00",," R$  13,78 ",60%," R$  9,19 ",40%," R$  22,97 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.9,"Demolição total de edifícação, internas e externas, com transporte e remoção de entulho",m2,,,,,"0,00",," R$  63,31 ",60%," R$  42,21 ",40%," R$  105,52 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.10,"Retirada de caixilhos, inclusive vidros e todos os seus elementos, com bota-fora",m2,,,,,"0,00",," R$  2,11 ",10%," R$  18,97 ",90%," R$  21,07 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.11,"Retirada de divisórias e biombos, com bota-fora",m2,,,,,"0,00",," R$  1,51 ",10%," R$  13,63 ",90%," R$  15,14 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.12,"Retirada de estrutura de cobertura em geral, inclusive telhas com bota-fora",m2,,,,,"0,00",," R$  2,22 ",10%," R$  19,97 ",90%," R$  22,18 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.13,"Retirada de estrutura metálica (mezanino, escadas, estruturas auxiliares), com bota fora",kg,,,,,"0,00",," R$  0,37 ",10%," R$  3,36 ",90%," R$  3,73 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.14,"Retirada de forro (gesso, metálico, modular, estuque, e etc.), com bota-fora",m2,,,,,"0,00",," R$  0,44 ",10%," R$  4,00 ",90%," R$  4,44 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.15,"Retirada de grades e portões, com bota-fora",m2,,,,,"0,00",," R$  1,87 ",10%," R$  16,81 ",90%," R$  18,67 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.16,"Retirada de porta com batente e ferragens, com bota-fora",un,,,,,"0,00",," R$  2,90 ",10%," R$  26,08 ",90%," R$  28,98 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.17,"Retirada de revestimento em massa, com bota-fora",m2,,,,,"0,00",," R$  1,61 ",10%," R$  14,53 ",90%," R$  16,14 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.18,"Retirada de vidros (vitrines e portas), com bota-fora",m2,,,,,"0,00",," R$  1,93 ",10%," R$  17,33 ",90%," R$  19,25 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.19,Remoção de CVI existente,vb,,,,,"0,00",," R$  651,02 ",60%," R$  434,01 ",40%," R$  1.085,03 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.3.20,Remoção e reposicionamento de mobiliário e dispensers para execução de pintura,vb,,,,,"0,00",," R$  402,65 ",60%," R$  268,44 ",40%," R$  671,09 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.4,TERRAPLANAGEM,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.4.1,Aterro compactado com aquisição,m3,,,,,"0,00",," R$  35,04 ",60%," R$  23,36 ",40%," R$  58,39 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.4.2,Corte do terreno com retirada,m3,,,,,"0,00",," R$  24,54 ",60%," R$  16,36 ",40%," R$  40,90 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.4.3,Corte e aterro dentro da obra,m3,,,,,"0,00",," R$  12,76 ",60%," R$  8,51 ",40%," R$  21,27 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.4.4,Raspagem e limpeza de terreno,m2,,,,,"0,00",," R$  2,54 ",60%," R$  1,70 ",40%," R$  4,24 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.4.5,Compactação mecanica sem controle do GC (c/ compactador de placa 400kg),m2,,,,,"0,00",," R$  9,85 ",60%," R$  6,57 ",40%," R$  16,41 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.5,INSTALAÇÕES TEMPORÁRIAS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.5.1,Instalação provisória de água e esgoto,mês,,,,,"0,00",," R$  782,55 ",60%," R$  521,70 ",40%," R$  1.304,24 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.5.2,Instalação provisória de energia elétrica,mês,,,,,"0,00",," R$  767,29 ",60%," R$  511,53 ",40%," R$  1.278,82 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.5.3,Instalação provisória de energia elétrica e dados para checkout e balcões,mês,,,,,"0,00",," R$  459,88 ",60%," R$  306,58 ",40%," R$  766,46 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.5.4,Fornecimento de água em caminhão pipa capacidade 5.000L,un,,,,,"0,00",," R$  209,94 ",60%," R$  139,96 ",40%," R$  349,89 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6,FUNDAÇÕES PROFUNDAS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.6.2,"Arrasamento de estaca de concreto armado, diametros de 30 a 60 cm",un,,,,,"0,00",," R$  20,63 ",60%," R$  13,75 ",40%," R$  34,39 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.3,Broca de Ø 20 cm (esc+arm+concreto),ml,,,,,"0,00",," R$  42,57 ",60%," R$  28,38 ",40%," R$  70,94 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.4,Broca de Ø 25 cm (esc+arm+concreto),ml,,,,,"0,00",," R$  55,60 ",60%," R$  37,06 ",40%," R$  92,66 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.5,"Estaca metálica I=10"" (fornec.+crav.+ corte + mobilização)",ml,,,,,"0,00",," R$  219,26 ",60%," R$  146,17 ",40%," R$  365,43 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.6,"Estaca metálica I=12"" (fornec.+crav.+ corte + mobilização)",ml,,,,,"0,00",," R$  281,16 ",60%," R$  187,44 ",40%," R$  468,60 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.7,"Estaca moldada in-loco Strauss Ø 30cm, inclusive escavação, bora fora do material,  concreto 20MPA e taxa de mobilização",ml,,,,,"0,00",," R$  61,71 ",60%," R$  41,14 ",40%," R$  102,86 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.6.8,"Estaca hélice continua monitorada  Ø 30cm, inclusive escavação, bora fora do material,  concreto 20MPA e taxa de mobilização",ml,,,,,"0,00",," R$  83,20 ",60%," R$  55,47 ",40%," R$  138,67 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7,FUNDAÇÕES SUPERFICIAIS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.7.1,Alvenaria de embasamento (Bloco de Concreto),m3,,,,,"0,00",," R$  227,07 ",60%," R$  151,38 ",40%," R$  378,45 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7.10,Escavação para fundações,m3,,,,,"0,00",," R$  26,84 ",60%," R$  17,89 ",40%," R$  44,73 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7.11,Fôrmas de tábuas de madeira para fundação,m2,,,,,"0,00",," R$  41,71 ",60%," R$  27,80 ",40%," R$  69,51 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7.12,Lastro de concreto magro (incluso lançamento),m3,,,,,"0,00",," R$  228,36 ",60%," R$  152,24 ",40%," R$  380,60 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7.13,Reaterro compactado de vala,m3,,,,,"0,00",," R$  28,04 ",60%," R$  18,69 ",40%," R$  46,74 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.7.14,Retirada de terra para bota fora,m3,,,,,"0,00",," R$  30,75 ",60%," R$  20,50 ",40%," R$  51,26 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8,SUPERESTRUTURAS DE CONCRETO,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.8.1,"Armadura de aço CA-50 para concreto armado, Ø até 12,5mm, corte, dobra e montagem",kg,,,,,"0,00",," R$  7,63 ",60%," R$  5,09 ",40%," R$  12,72 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.2,"Armadura de aço CA-60 para concreto armado, Ø de 8,00 até 9,50mm, corte, dobra e montagem",kg,,,,,"0,00",," R$  7,87 ",60%," R$  5,24 ",40%," R$  13,11 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.3,Escoramento para lajes ,m2,,,,,"0,00",," R$  28,21 ",60%," R$  18,81 ",40%," R$  47,02 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.4,Execução de furos com chumbamento de ferros,un,,,,,"0,00",," R$  22,32 ",60%," R$  14,88 ",40%," R$  37,20 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.5,"Forma c/ compensado resinado 12mm, 3 aproveitamentos",m2,,,,,"0,00",," R$  40,22 ",60%," R$  26,81 ",40%," R$  67,03 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.6,Fôrmas de tábuas de madeira para estrutura,m2,,,,,"0,00",," R$  44,77 ",60%," R$  29,85 ",40%," R$  74,62 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.7,Formas (Metálicas tipo Polideck 59S - laje ),m2,,,,,"0,00",," R$  60,19 ",60%," R$  40,12 ",40%," R$  100,31 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.8,"Concreto estrutural dosado em central , fck 20 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento",m3,,,,,"0,00",," R$  322,87 ",60%," R$  215,24 ",40%," R$  538,11 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.9,"Concreto estrutural dosado em central , fck 25 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento ",m3,,,,,"0,00",," R$  340,88 ",60%," R$  227,26 ",40%," R$  568,14 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.10,"Concreto estrutural dosado em central , fck 30 Mpa, inclusive transporte, bombeamento, lançamento, adensamento e acabamento ",m3,,,,,"0,00",," R$  357,60 ",60%," R$  238,40 ",40%," R$  595,99 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.11,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 20 MPa, inclusive lançamento, adensamento e acabamento ",m3,,,,,"0,00",," R$  340,26 ",60%," R$  226,84 ",40%," R$  567,09 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.12,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 25 MPa, inclusive lançamento, adensamento e acabamento ",m3,,,,,"0,00",," R$  388,46 ",60%," R$  258,97 ",40%," R$  647,43 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.13,"Concreto estrutural virado em obra , controle ""A"", consistência para vibração, brita 1 e 2, fck 30 MPa, inclusive lançamento, adensamento e acabamento ",m3,,,,,"0,00",," R$  421,64 ",60%," R$  281,09 ",40%," R$  702,73 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.14,Laje pré-fabricada e=12cm com capeamento de concreto  e tela,m2,,,,,"0,00",," R$  85,63 ",60%," R$  57,09 ",40%," R$  142,72 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.15,Laje pré-fabricada e=16cm com capeamento de concreto  e tela,m2,,,,,"0,00",," R$  84,82 ",60%," R$  56,54 ",40%," R$  141,36 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.16,Laje pré-fabricada e=20 cm com capeamento de concreto  e tela,m2,,,,,"0,00",," R$  101,79 ",60%," R$  67,86 ",40%," R$  169,65 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.8.17,"Muro de arrimo em  bloco de concreto, inclusive fundação ",m2,,,,,"0,00",," R$  124,51 ",60%," R$  83,01 ",40%," R$  207,52 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.9,ESTRUTURAS METÁLICAS - MEZANINO / JIRAU / 2º PAV.,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.9.1,Estrutura Metálica do Mezanino / Jirau / 2.ºpav. (incluso Escada metálica em chapa de aço xadrez anti derrapante e= 3mm - Grafite RAL 7021),kg,,,,,"0,00",," R$  13,45 ",60%," R$  8,97 ",40%," R$  22,42 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.9.2,Piso Mezanino em chapas wall e=4mm,m2,,,,,"0,00",," R$  173,26 ",60%," R$  115,51 ",40%," R$  288,77 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10,ESTRUTURAS AUXILIARES,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.10.1,"Escada Metálica tipo Marinheiro - Perfil Metálico Tubular Ø 1.1/2"" Soldado com tratamento anti-ferrugem e pintura em esmalte sintético cor a ser definida em projeto ( branco, cinza, vermelho )",ml,,,,,"0,00",," R$  219,09 ",60%," R$  146,06 ",40%," R$  365,15 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.2,Estrutura auxiliar para sustentação de caixas d'água com tratamento anti-ferrugem  e pintura em esmalte sintético na cor cinza chumbo,kg,,,,,"0,00",," R$  13,21 ",60%," R$  8,81 ",40%," R$  22,01 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.3,"Estrutura de Sustentação da caixa cobre rolo com fechamento em chapa: Tubo 30x30x1,5mm",kg,,,,,"0,00",," R$  14,58 ",60%," R$  9,72 ",40%," R$  24,30 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.4,"Estrutura Marquise (Treliça Frontal: tubo 40x40x1,5mm, Tesoura: Tubo 40,40,1,5mm, Terça: Perfil 'U"" 75,x75x2,65mm, Estrutura de sustentação do forro: Tubo 20x20x1,5mm) com pintura esmalte branca -  Coberta com telha trapezoidal: GT 40/0,50mm. Fixação: Chapa 200x150mm e=10mm e parabolt de 5/8""",m2,,,,,"0,00",," R$  152,30 ",60%," R$  101,53 ",40%," R$  253,83 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.5,Plataforma Metálica com chapa expandida para circulação na cobertura da loja (acesso equipamentos) com tratamento anti-ferrugem e pintura em esmalte sintético na cor cinza chumbo.,kg,,,,,"0,00",," R$  9,24 ",60%," R$  6,16 ",40%," R$  15,40 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.6,Estrutura metálica galvanizada para reforço estrutural,kg,,,,,"0,00",," R$  20,24 ",60%," R$  13,49 ",40%," R$  33,73 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.7,Estrutura para Sustentação das Cortinas de Ar / Sanca ,kg,,,,,"0,00",," R$  11,74 ",60%," R$  7,83 ",40%," R$  19,57 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.10.8,Estrutura para Sustentação Ar Cond. ( Un. Condensadora ),kg,,,,,"0,00",," R$  12,19 ",60%," R$  8,13 ",40%," R$  20,32 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11,ALVENARIAS INTERNAS E EXTERNAS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.11.1,"Alven. Blocos Cerâmico - 8 Furos (11,5x14x24cm)",m2,,,,,"0,00",," R$  39,59 ",60%," R$  26,39 ",40%," R$  65,98 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.2,Alven. Blocos Cerâmico - 9 Furos (18x14x24cm),m2,,,,,"0,00",," R$  46,60 ",60%," R$  31,07 ",40%," R$  77,67 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.3,Alven. Blocos de Concreto  (9x19x39cm),m2,,,,,"0,00",," R$  43,97 ",60%," R$  29,31 ",40%," R$  73,28 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.4,Alven. Blocos de Concreto  (14x19x39cm),m2,,,,,"0,00",," R$  53,21 ",60%," R$  35,47 ",40%," R$  88,68 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.5,Alven. Blocos de Concreto  (19x19x39cm),m2,,,,,"0,00",," R$  60,96 ",60%," R$  40,64 ",40%," R$  101,60 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.6,Alven. Tijolo Maciço - enchimentos / encunhamentos,m2,,,,,"0,00",," R$  55,95 ",60%," R$  37,30 ",40%," R$  93,25 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.11.7,Alven. Tijolo Maciço - paredes de espelho,m2,,,,,"0,00",," R$  45,51 ",60%," R$  30,34 ",40%," R$  75,84 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.12,DIVISÓRIAS E FECHAMENTOS,,,,,,,,,,,,,,,,, R$  -   , R$  -   ,,
,1.12.1,Divisória de granito - Mictório (60x40x02cm),un,,,,,"0,00",," R$  103,21 ",60%," R$  68,81 ",40%," R$  172,02 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.12.3,"Divisória piso teto em gesso - Tipo Drywall RF (resistente ao fogo), e=10cm",m2,,,,,"0,00",," R$  92,39 ",60%," R$  61,59 ",40%," R$  153,98 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.12.4,"Divisória piso teto em gesso - Tipo Drywall RU (resistente a umidade), e=10cm",m2,,,,,"0,00",," R$  96,26 ",60%," R$  64,17 ",40%," R$  160,44 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
,1.12.5,Divisória piso teto em gesso - Tipo Standard-Drywall - e=10cm - Marca Placo,m2,,,,,"0,00",," R$  75,90 ",60%," R$  50,60 ",40%," R$  126,49 ",, R$  -   , R$  -   , R$  -   , R$  -   , R$  -   ,,
