Categoria,Subcategoria,Serviço,Descrição,Unidade,Valor
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.1,"Escada Metálica tipo Marinheiro - Perfil Metálico Tubular Ø 1.1/2"" Soldado com tratamento anti-ferrugem e pintura em esmalte sintético cor a ser definida em projeto ( branco, cinza, vermelho )",ml,"365,15"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.2,Estrutura auxiliar para sustentação de caixas d'água com tratamento anti-ferrugem  e pintura em esmalte sintético na cor cinza chumbo,kg,"21,5262930732501"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.3,"Estrutura de Sustentação da caixa cobre rolo com fechamento em chapa: Tubo 30x30x1,5mm",kg,"23,3679153549"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.4,"Estrutura Marquise (Treliça Frontal: tubo 40x40x1,5mm, Tesoura: Tubo 40,40,1,5mm, Terça: Perfil 'U"" 75,x75x2,65mm, Estrutura de sustentação do forro: Tubo 20x20x1,5mm) com pintura esmalte branca -  Coberta com telha trapezoidal: GT 40/0,50mm. Fixação: Chapa 200x150mm e=10mm e parabolt de 5/8""",m2,"248,247"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.5,Plataforma Metálica com chapa expandida para circulação na cobertura da loja (acesso equipamentos) com tratamento anti-ferrugem e pintura em esmalte sintético na cor cinza chumbo.,kg,"15,309"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.6,Estrutura metálica galvanizada para reforço estrutural,kg,"33,5347292918431"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.7,Estrutura para Sustentação das Cortinas de Ar / Sanca ,kg,"19,4512092705"
OBRA CIVIL,ESTRUTURAS AUXILIARES,1.10.8,Estrutura para Sustentação Ar Cond. ( Un. Condensadora ),kg,"20,19825"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.1,"Alven. Blocos Cerâmico - 8 Furos (11,5x14x24cm)",m2,"70,13"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.2,Alven. Blocos Cerâmico - 9 Furos (18x14x24cm),m2,"79,75"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.3,Alven. Blocos de Concreto  (9x19x39cm),m2,"69,7909090909091"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.4,Alven. Blocos de Concreto  (14x19x39cm),m2,"94,31"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.5,Alven. Blocos de Concreto  (19x19x39cm),m2,"109,21"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.6,Alven. Tijolo Maciço - enchimentos / encunhamentos,m2,"93,25"
OBRA CIVIL,ALVENARIAS INTERNAS E EXTERNAS,1.11.7,Alven. Tijolo Maciço - paredes de espelho,m2,77
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.1,Divisória de granito - Mictório (60x40x02cm),un,"167,04"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.3,"Divisória piso teto em gesso - Tipo Drywall RF (resistente ao fogo), e=10cm",m2,"154,9"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.4,"Divisória piso teto em gesso - Tipo Drywall RU (resistente a umidade), e=10cm",m2,"164,752082809537"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.5,Divisória piso teto em gesso - Tipo Standard-Drywall - e=10cm - Marca Placo,m2,"134,116186094421"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.6,"Divisória piso teto em gesso - Uma face, para fechamentos",m2,"122,780700123203"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.7,Divisórias Tipo Naval c/Laminado - Sanitários,m2,"117,112"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.8,Divisórias Tipo Naval espessura 48mm acabamento em laminado branco TX com perfis de aço com pintura eletrostática branca - considerar todos os perfis e guias necessários para fixação ,m2,"166,27806"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.9,"Divisórias Sanitárias em laminado estrutura TS, e=10mm, fixadas em perfis de aluminío vertical. (ref.: Pertech tipo Baseplac)",m2,196
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.11,"Placa cimentícia, com estrutura de fixação / sustentação, considerar tratamento das juntas que deverão ser preenchidas com produtos elastoméricos, aplicação de fita de fibra de vidro de duas camadas e massa cimentícia. Considerar Fornecimento e instalação",m2,"187,85"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.12,"Placa cimentícia, considerar tratamento das juntas que deverão ser preenchidas com produtos elastoméricos, aplicação de fita de fibra de vidro de dupla camada e massa cimentícia. Considerar Fornecimento e instalação (aplicação em estrutura existente)",m2,"133,7"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.13,Reforço metálico / estrutura auxiliar para Dry Wall,un,"91,5"
OBRA CIVIL,DIVISÓRIAS E FECHAMENTOS,1.12.14,Divisória piso teto em gesso – Somente plaqueamento,m2,84
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.1,Limpeza de pisos,m2,"8,835"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.2,Fornecimento e instalação de fita anti-derrapante de piso,ml,"6,1832"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.3,"Argamassa de regularização, 2cm de espessura",m2,"31,1523909444072"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.4,Contrapiso de concreto espessura 6 cm ,m2,"57,4802"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.5,Contrapiso de concreto espessura 6 cm  inclusive tela soldada Q192,m2,"84,9968435080973"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.6,Piso podotátil de borracha (alerta e/ou direcional),ml,"65,7648618737314"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.7,Piso podotátil de borracha (alerta e/ou direcional) 3mm x 25cm x 25cm,ml,"54,7305041188412"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.8,"Piso Cerâmico Eliane - Cargo Plus White (45x45cm), incluso argamassa de assentamento e rejunte cinza claro Eliane",m2,"112,983399301332"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.9,"Piso Porcelanato Eliane - Bianco Plus (50x50cm), incluso argamassa de assentamento e rejunte cinza claro Eliane",m2,"137,42"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.10,"Piso Porcelanato Eliane - Bianco Plus (50x50cm), incluso argamassa de assentamento e rejunte cinza claro Eliane ( material deverá ser utilizado apenas para recomposição de áreas existentes).",m2,"137,42"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.11,"Piso Porcelanato Eliane - Bianco Plus (60x60cm), incluso argamassa de assentamento e rejunte cinza claro Eliane",m2,"190,264276272083"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.12,"Piso Porcelanato Eliane - Super Bianco Plus (60x60cm), incluso argamassa de assentamento e rejunte cinza claro Eliane",m2,"266,20611227175"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.13,Fornecimento de Piso Porcelanato Portobello - Polis Lux  (60x60cm) POL RET - Bandeira Raia e Drogasil,m2,"291,934659989718"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.14,"Mão de obra para instalação de piso porcelanato, considerando todos os insumos 
necessários para assentamento",m2,0
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.15,"Porcelanato Portobello Bianco Covelano (90x90cm) - NAT RET ref.: 24486E juntas de 1,5mm,  incluso argamassa de assentamento e rejunte fortaleza na cor branco.",m2,250
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.17,"Rodapé Cerâmico Eliane - Cargo Plus White (8x45cm), incluso argamassa de assentamento e rejunte cinza claro Eliane",ml,"79,7718887337209"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.18,"Rodapé Porcelanato Eliane - Bianco Plus (8x50cm), incluso argamassa de assentamento e rejunte para porcelanato cinza claro Eliane",ml,38
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.19,"Rodapé Porcelanato Eliane - Bianco Plus (8x60cm), incluso argamassa de assentamento e rejunte para porcelanato cinza claro Eliane",ml,"48,7978235266092"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.20,"Rodapé Porcelanato Eliane - Super Bianco Plus (8x60cm), incluso argamassa de assentamento e rejunte para porcelanato cinza claro Eliane",ml,"48,7978235266092"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.21,"Rodapé Porcelanato Portobello Bianco Covelano (8x90cm) - NAT RET, incluso argamassa de assentamento e rejunte para porcelanato na cor branco Eliane",ml,"54,45"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.22,Soleira / Peitoril em granito com acabamento polido cor cinza andorinha - largura =até 25cm,ml,"129,09"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.23,Soleira / Peitoril em granito com acabamento polido cor cinza andorinha - largura = até 40cm,ml,150
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.24,"Piso porcelanato Imbuia Claro 120x20 Portobello, rejunte Amêndoa (piso Vida Saudável)",m2,"204,969545984233"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.25,Rodapé porcelanato Imbuia Claro Portobello (Vida Saudável),ml,"49,04"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.26,"Piso Porcelanato Bali Camel 19X90 Acetinado, rejunte Amêndoa (piso Vida Saudável)",m2,"341,29"
OBRA CIVIL,PISOS - ÁREAS INTERNAS,1.13.27,"Rodapé Porcelanato Bali Camel Acetinado, rejunte Amêndoa (Vida Saudável)",ml,"49,04"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.1,"Bate rodas de concreto Tam. 1,75 x 0,15 x 0,10m com pintura em amarelo e preto com fixação através de parafusos no piso.",un,108
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.2,"Bate rodas de concreto Tam. 0,48 x 0,15 x 0,085m com pintura em amarelo e preto com fixação através de parafusos no piso.",un,45
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.3,"Bate rodas metálico Tam. 1,75 x 0,15 x 0,10m com pintura em amarelo e preto com fixação através de parafusos no piso.",un,"206,9248"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.6,"Pintura Novacor Piso Ultra para área externa - desenho PCD para pintura das vagas de deficiente, ou idoso",un,"197,936311824203"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.7,Pintura Novacor Piso Ultra para área externa amarela para pintura das faixas das vagas,ml,"8,49693251533742"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.8,Pintura Novacor Piso Ultra para piso cimentado ou concreto,m2,"20,4"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.9,Piso Intertravado de concreto e=10cm - Estacionamento (trafego pesado),m2,"116,972140375255"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.10,Piso drenante tipo Pisograma Braston,m2,"149,35"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.11,Piso drenante tipo Concregrama e=10cm - Estacionamento (trafego pesado),m2,"154,74"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.12,"Piso drenante tipo Braston - megadreno 22x14x10cm, assentado sobre camada  detalhada em projeto (Construtora deverá apresentar da NF do fornecedor do piso)",m2,"134,74"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.13,"Piso drenante tipo Intercity - natural 20x10x10cm, assentado sobre camada  detalhada em projeto ",m2,"94,25"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.14,"Pedrisco Branco, jardim seco",m3,"180,550698037762"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.17,"Piso em Mosaico português assentado com argamassa de cimento e areia, incluindo rejuntamento e lavagem",m2,"152,216614010634"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.18,Piso em Ladrilho Hidráulico 20x20 - tipo calçada copacabana,m2,"100,533560133206"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.19,"Piso em Concreto Armado - Polido espess. = 6cm (FCK30 Mpa), incluso lastro de concreto e tela de aço soldada.",m2,"110,898724968704"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.20,"Piso em Concreto Armado - Polido espess. = 10cm (FCK30 Mpa), incluso lastro de concreto e tela de aço soldada.",m2,"119,9394"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.21,"Piso de CONCRETO com acabamento VASSOURADO espess. = 6 cm (FCK30 Mpa), incluso lastro de concreto e tela de aço soldada.",m2,"106,205935276694"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.22,"Piso de CONCRETO com acabamento VASSOURADO espess. = 10cm (FCK30 Mpa), incluso lastro de concreto e tela de aço soldada.",m2,"146,330010559776"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.23,Piso podotátil em concreto (alerta e/ou direcional) 20x20cm,ml,40
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.24,Guia em Concreto - Meio Fio Padrão (0.15 x 0.30 x 1.00 m) ,ml,"60,9583333333333"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.25,Mini Guia Jardim em Concreto (0.08 x 0.20 x 0.39 cm),ml,"40,7705454545455"
OBRA CIVIL,PISOS - ÁREAS EXTERNAS,1.14.26,Rebaixamento de guias,ml,"34,2789240438735"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.1,Impermeabilização de alicerces,m2,"21,38"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.2,Impermeabilização com Tinta Asfáltica Neutrol duas demãos,m2,"27,84"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.3,Manta Líquida tipo Weber Quartzolit ou Bautech,m2,"28,7574181818182"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.4,"Manta asfáltica 3mm (c/ virada de 20cm), inclusive proteção mecânica, e regularização",m2,"83,0474166666667"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.5,"Manta asfáltica 4mm (c/ virada de 20cm), inclusive proteção mecânica, e regularização",m2,"104,694566666667"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.6,"Manta asfáltica 3mm (c/ virada de 25cm), inclusive proteção mecânica, e regularização (areas internas)",m2,"83,0474166666667"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.7,"Manta asfáltica 4mm (c/ virada de 25cm), inclusive proteção mecânica, e regularização (areas externas e expostas ao tempo)",m2,"107,666780559292"
OBRA CIVIL,IMPERMEABILIZAÇÕES,1.15.8,"Fornecimento e instalação de lona plástica, para impermeabilização, espessura 150 micras",M2,"2,14"
OBRA CIVIL,REVESTIMENTOS (ALVENARIAS INTERNAS E EXTERNAS),1.16.1,Chapisco,m2,"5,03820543323077"
